HASC,Mã hành chính,Tỉnh,Số ca nhiễm,Bình phục,Tử vong
VN.HI,1,Hà Nội,837,518,19
VN.HG,2,Hà Giang,4,3,0
VN.CB,4,Cao Bằng,0,0,0
VN.BK,6,Bắc Kạn,0,0,0
VN.TQ,8,Tuyên Quang,1,1,0
VN.LO,10,Lào Cai,8,2,0
VN.DB,11,Điện Biên,59,52,0
VN.LI,12,Lai Châu,1,1,0
VN.SL,14,Sơn La,1,0,0
VN.YB,15,Yên Bái,5,5,0
VN.HO,17,Hoà Bình,40,33,0
VN.TY,19,Thái Nguyên,9,8,0
VN.LS,20,Lạng Sơn,114,20,1
VN.QN,22,Quảng Ninh,104,87,0
VN.BG,24,Bắc Giang,5945,3592,11
VN.PT,25,Phú Thọ,8,5,0
VN.VC,26,Vĩnh Phúc,124,50,0
VN.BN,27,Bắc Ninh,1708,1042,11
VN.HD,30,Hải Dương,815,804,0
VN.HP,31,Hải Phòng,26,12,0
VN.HY,33,Hưng Yên,243,68,0
VN.TB,34,Thái Bình,78,56,0
VN.HM,35,Hà Nam,58,50,0
VN.ND,36,Nam Định,27,18,0
VN.NB,37,Ninh Bình,53,37,0
VN.TH,38,Thanh Hóa,65,26,0
VN.NA,40,Nghệ An,153,5,1
VN.HT,42,Hà Tĩnh,138,20,1
VN.QB,44,Quảng Bình,1,0,0
VN.QT,45,Quảng Trị,18,12,1
VN.TT,46,Thừa Thiên Huế,8,6,0
VN.DA,48,Đà Nẵng,806,617,33
VN.QM,49,Quảng Nam,148,123,3
VN.QG,51,Quảng Ngãi,189,8,0
VN.BD,52,Bình Định,25,1,0
VN.PY,54,Phú Yên,555,28,0
VN.KH,56,Khánh Hòa,433,128,0
VN.NT,58,Ninh Thuận,37,12,0
VN.BU,60,Bình Thuận,56,11,0
VN.KT,62,Kon Tum,0,0,0
VN.GL,64,Gia Lai,35,27,0
VN.DC,66,Đắk Lắk,11,4,0
VN.DO,67,Đắk Nông,4,0,0
VN.LD,68,Lâm Đồng,14,0,0
VN.BP,70,Bình Phước,54,0,0
VN.TN,72,Tây Ninh,189,51,1
VN.BI,74,Bình Dương,1834,45,1
VN.DN,75,Đồng Nai,0,0,0
VN.BV,77,Bà Rịa - Vũng Tàu,222,127,0
VN.HC,79,Hồ Chí Minh,20238,692,109
VN.LA,80,Long An,483,11,8
VN.TG,82,Tiền Giang,521,5,1
VN.BR,83,Bến Tre,86,18,0
VN.TV,84,Trà Vinh,51,8,0
VN.VL,86,Vĩnh Long,213,13,0
VN.DT,87,Đồng Tháp,862,27,21
VN.AG,89,An Giang,135,9,1
VN.KG,91,Kiên Giang,114,27,0
VN.CN,92,Cần Thơ,67,35,0
VN.HU,93,Hậu Giang,21,0,0
VN.ST,94,Sóc Trăng,29,0,0
VN.BL,95,Bạc Liêu,63,53,0
VN.CM,96,Cà Mau,25,8,0
